Token_ID_Greek,Token_Greek,Gospel,Token_ID_Armenian,Token_Armenian,Function,comment,Location,Greek_found,Armenian_found,where_found
325942.0,ἀλλὰ,LUKE,740445.0,ayl,ADVER,,7.7,1,1,both_langs
760339.0,ἄλλῳ,LUKE,740473.0,aylowm,UNID,,7.8,1,1,both_langs
,,LUKE,741472.0,aylocʻ,UNID,,8.10,0,1,only_Arm
327482.0,ἀλλ’,LUKE,741853.0,aył,SUBST,,8.27,1,1,both_langs
,,LUKE,792482.0,áylkʻ,UNID,,8.3,0,1,only_Arm
328059.0,ἀλλὰ,LUKE,742395.0,ayl,SUBST,,8.52,1,1,both_langs
,,LUKE,792493.0,ayl,UNID,ошибка токенайзер,8.6,0,1,only_Arm
,,LUKE,741411.0,ayl,UNID,ошибка токенайзер,8.7,0,1,only_Arm
,,LUKE,741427.0,aył,UNID,,8.8,0,1,only_Arm
,,LUKE,743654.0,aył,UNID,,9.61,0,1,only_Arm
328247.0,ἄλλων,LUKE,742575.0,aylocʻ,UNID,,9.8,1,1,both_langs
